序号	提交答卷时间	所用时间	来源	来源详情	来自IP	1、您的性别	2、?您认为大学生的心理健康是否应该引起重视，请选择一个符合的选项	3、?您对心理健康知识了解多少，请选择一个符合的选项	4、您了解心理健康的途径是什么，请勾选所有符合的选项（多选题）	5、你总有明确的生活目标并在为之不懈奋斗吗？	6、如果在学习过程中出现学习效率低下、压力过大的状况，你会觉得心烦气躁吗？	7、?在考试考证前，您是否对自己信心不足，情绪烦躁，看过书本但记住很少请选择一个符合的选项	8、你认为压力在你的学习生活中有什么作用？	9、?您生活的压力主要来自，请勾选所有符合的选项（多选题）	10、?你觉得自己的心理承受能力强吗，请选择一个符合的选项	11、?您和周围认识的人是否闹过矛盾，请选择一个符合的选项	12、您是否经常跟家人朋友交流感情，聊天谈笑请选择一个符合的选项	13、?您是否曾因同学间的攀比而产生困扰，请选择一个符合的选项	14、?当情绪低落时，您如何调节，请勾选所有符合的选项（多选题）	15、你如何看待在校大学生自杀事件，请勾选所有符合的选项（多选题）	16、?你的大学恋爱观是怎样？请选择一个符合的选项	17、大学毕业之后你对未来的选择是？	18、?面对如此严峻的就业形势你会有所担忧，请选择一个符合的选项	19、?请问您觉得学校可以如何去进行心理健康教育，请勾选所有符合的选项（多选题）	20、?如果有一场心理讲座，你希望主题是什么请选择一个符合的选项	21、 目前，你急需解决的心理问题是什么？你希望以什么方式获得帮助
8	2021/5/28 12:04:44	620秒	手机提交	直接访问	221.192.180.192(河北-秦皇岛)	男	应该重视	了解一点	阅读书刊┋看相关电影	不知道	有时会	是	没感觉	学习压力┋就业压力	一般	偶尔	偶尔	有时	参加户外活动转移注意力┋倒头大睡，不去想任何事情┋找人倾述	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	考研	有所担忧	设立心理咨询室┋网络心理咨询	如何和他人交往	无
9	2021/5/28 12:13:37	31秒	手机提交	直接访问	223.104.103.126(河北-保定)	男	必须重视	了解很多	浏览网页	有	经常会	是	正面影响，会为学习带来动力	学习压力	很强	经常	经常	经常	参加户外活动转移注意力	压力过大，能够理解	人生大事，应该用心经营，从一而终	就业	会	多举行心理讲座	情绪调节	(空)
10	2021/5/28 12:15:36	124秒	手机提交	直接访问	27.187.160.172(河北-保定)	男	必须重视	了解一点	其他〖学校〗	不知道	有时会	是	较为负面影响，会影响情绪	学习压力┋感情压力┋人际关系┋经济问题	很弱	很少	偶尔	较少	参加户外活动转移注意力┋通过暴饮暴食发泄不满情绪┋倒头大睡，不去想任何事情┋一个人生闷气	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自声心理问题	一种美好的经历，帮助我成长	就业	有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	如何和他人交往	(空)
11	2021/5/28 12:15:37	131秒	手机提交	直接访问	117.136.2.153(河北-保定)	女	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座	不知道	经常会	是	较为负面影响，会影响情绪	学习压力┋感情压力┋经济问题┋考试考证┋就业压力	一般	很少	偶尔	没有	通过暴饮暴食发泄不满情绪┋一个人生闷气┋无法排解低落情绪	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	考研	有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	情绪调节	(空)
12	2021/5/28 12:24:34	101秒	手机提交	直接访问	101.27.80.125(河北-保定)	男	必须重视	了解很多	浏览网页┋跟朋友聊天时了解到┋看相关电影	没有	有时会	是	较为负面影响，会影响情绪	学习压力┋考试考证	一般	很少	偶尔	没有	找人倾述	以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	考公务员	有所担忧	设立心理咨询室┋组织团体活动	情绪调节	(空)
13	2021/5/28 12:24:36	189秒	手机提交	直接访问	36.98.188.178(河北-未知)	女	没有必要	了解很多┋了解一点┋了解很少┋一点也不了解	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影┋其他〖呃〗	没有	经常会	否	没感觉	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题┋考试考证┋就业压力	很强	很少	从来没有	较少	参加户外活动转移注意力┋通过暴饮暴食发泄不满情绪┋倒头大睡，不去想任何事情┋一个人生闷气┋找人倾述┋无法排解低落情绪	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋非常鄙视自杀之人，枉费父母和社会的栽培┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	考研	会	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	其他:〖如何知道对方在想什么〗	(空)
14	2021/5/28 12:24:50	141秒	手机提交	直接访问	223.104.103.12(河北-保定)	女	应该重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影	没有	有时会	是	正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题┋考试考证┋就业压力	很强	偶尔	经常	较少	其他:〖哭〗	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋非常鄙视自杀之人，枉费父母和社会的栽培┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	如何处理学习和工作	没
15	2021/5/28 12:24:59	103秒	手机提交	直接访问	27.128.40.187(河北-石家庄)	男	必须重视	了解一点	阅读书刊┋听讲座┋看相关电影	有	经常会	是	较为负面影响，会影响情绪	学习压力┋人际关系┋考试考证┋就业压力	很弱	偶尔	偶尔	有时	参加户外活动转移注意力┋倒头大睡，不去想任何事情	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	考研	有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	情绪调节	暂无
16	2021/5/28 12:26:30	136秒	手机提交	直接访问	101.27.83.70(河北-保定)	女	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到	不知道	比较少	是	较为负面影响，会影响情绪	学习压力┋考试考证	很强	很少	经常	没有	倒头大睡，不去想任何事情┋一个人生闷气┋找人倾述	以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	有所担忧	设立心理咨询室┋网络心理咨询┋组织团体活动	如何处理学习和工作	(空)
17	2021/5/28 12:27:10	192秒	手机提交	直接访问	218.12.14.32(河北-石家庄)	男	必须重视	了解一点	浏览网页┋跟朋友聊天时了解到┋看相关电影	有	从来不会	否	正面影响，会为学习带来动力	经济问题┋考试考证┋就业压力	很强	很少	偶尔	没有	参加户外活动转移注意力┋倒头大睡，不去想任何事情┋一个人生闷气┋找人倾述	以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	还没想过	充满信心	设立心理咨询室┋网络心理咨询	情绪调节	(空)
18	2021/5/28 12:30:38	213秒	手机提交	直接访问	27.128.57.48(河北-石家庄)	女	必须重视	了解一点	浏览网页┋阅读书刊┋看相关电影	不知道	经常会	是	较为负面影响，会影响情绪	学习压力┋人际关系┋考试考证	一般	很少	偶尔	较少	其他:〖发呆听歌〗	以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	有所担忧	设立心理咨询室┋组织团体活动	情绪调节	考前焦虑
19	2021/6/4 9:44:52	63秒	手机提交	直接访问	117.136.2.186(河北-保定)	男	应该重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到	不知道	有时会	是	正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题	一般	很少	偶尔	较少	参加户外活动转移注意力┋倒头大睡，不去想任何事情┋一个人生闷气	以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	还没想过	有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	如何和他人交往	无
20	2021/6/11 10:16:51	84秒	手机提交	直接访问	223.104.103.37(河北-保定)	男	应该重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到	有	有时会	是	没感觉	学习压力┋感情压力	一般	偶尔	偶尔	较少	参加户外活动转移注意力┋倒头大睡，不去想任何事情┋一个人生闷气	对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	会	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	如何处理学习和工作	无
1	2021/5/27 14:59:58	81秒	手机提交	直接访问	218.12.12.4(河北-石家庄)	女	必须重视	了解很少	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影┋其他	有	经常会	是	正面影响，会为学习带来动力	学习压力┋感情压力	一般	很少	经常	有时	找人倾述	对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自身心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	会有所担忧	多举行心理讲座┋设立心理咨询室	情绪调节	没有歪
2	2021/5/27 15:05:14	368秒	手机提交	直接访问	221.192.238.10(河北-保定)	女	必须重视	了解一点	浏览网页┋阅读书刊	没有	经常会	是	正面影响，会为学习带来动力	学习压力┋人际关系┋经济问题┋考试考证┋就业压力	一般	很少	偶尔	较少没有	倒头大睡，不去想任何事情┋一个人生闷气┋找人倾述	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自身心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	会有所担忧	设立心理咨询室┋网络心理咨询┋组织团体活动	情绪调节	学习压力，讲座
3	2021/5/27 15:46:56	253秒	微信	N/A	27.128.86.148(河北-衡水)	女	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影┋其他	有	有时会	否	正面影响，会为学习带来动力	学习压力┋人际关系┋考试考证	一般	偶尔	经常	较少没有	倒头大睡，不去想任何事情┋找人倾述	以此为鉴，努力疏导自身心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询	情绪调节	无
4	2021/5/27 16:01:39	148秒	微信	N/A	221.192.179.64(河北-石家庄)	男	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影	没有	有时会	否	正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题┋考试考证┋就业压力	一般	很少	经常	较少没有	倒头大睡，不去想任何事情	压力过大，能够理解┋以此为鉴，努力疏导自身心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	就业	会有所担忧	多举行心理讲座┋组织团体活动	情绪调节	(空)
5	2021/5/27 16:26:23	34秒	微信	N/A	218.12.13.120(河北-石家庄)	男	必须重视	了解很多	浏览网页	有	经常会	是	正面影响，会为学习带来动力	人际关系┋其他	很强	经常	很少	较少没有	参加户外活动转移注意力	压力过大，能够理解	只在乎曾经拥有，不在乎天长地久	就业	会有所担忧	网络心理咨询	情绪调节	(空)
6	2021/5/27 16:27:03	168秒	微信	N/A	218.12.15.12(河北-石家庄)	男	必须重视	了解很少┋一点也不了解	浏览网页┋阅读书刊┋跟朋友聊天时了解到	有	有时会	是	正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系	一般	很少	经常	经常	通过暴饮暴食发泄不满情绪	以此为鉴，努力疏导自身心理问题	一种美好的经历，帮助我成长	考公务员	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	情绪调节	(空)
7	2021/5/27 16:28:43	31秒	微信	N/A	36.98.208.102(河北-未知)	男	必须重视	了解很多	跟朋友聊天时了解到	没有	从来不会	是	正面影响，会为学习带来动力	感情压力┋家庭问题	很弱	经常	很少	经常	参加户外活动转移注意力	对引发事件发生的社会原因和学校的责任非常慷慨	只在乎曾经拥有，不在乎天长地久	考研	会有所担忧	多举行心理讲座┋组织团体活动	学习方法	(空)
8	2021/5/27 16:31:17	122秒	微信	N/A	221.192.178.91(河北-沧州)	女	没有必要	一点也不了解	跟朋友聊天时了解到	不知道	从来不会	是	没感觉	感情压力┋人际关系┋经济问题	很强	经常	经常	较少没有	参加户外活动转移注意力┋通过暴饮暴食发泄不满情绪┋找人倾述	压力过大，能够理解┋社会应更多得关心大学生生活状况	只在乎曾经拥有，不在乎天长地久	还没想过	无所谓，父母早已为自己铺好路	网络心理咨询	如何和他人交往	(空)
9	2021/5/27 16:52:32	39秒	微信	N/A	223.104.104.102(河北-沧州)	男	必须重视	了解很多┋了解很少	听讲座┋看相关电影	没有	经常会	否	没感觉	感情压力┋考试考证	一般	偶尔	很少	较少没有	参加户外活动转移注意力┋通过暴饮暴食发泄不满情绪	对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自身心理问题	只在乎曾经拥有，不在乎天长地久	考研	无所谓，父母早已为自己铺好路	设立心理咨询室┋网络心理咨询	如何处理学习和工作	玩
